City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Jamestown,US,2021-10-05 19:48:17,42.097,-79.2353,74.52,75,40,5.01
67,Dikson,RU,2021-10-05 19:51:34,73.5069,80.5464,36.52,95,100,19.51
68,San Patricio,US,2021-10-05 19:51:34,28.017,-97.5169,91.92,26,0,8.97
69,Puerto Ayora,EC,2021-10-05 19:51:34,-0.7393,-90.3518,75.16,83,68,7.0
70,Hualmay,PE,2021-10-05 19:51:35,-11.0964,-77.6139,66.16,74,95,10.76
71,Kuala Terengganu,MY,2021-10-05 19:51:35,5.3302,103.1408,76.95,94,20,3.44
72,Cape Town,ZA,2021-10-05 19:51:36,-33.9258,18.4232,62.28,66,0,3.0
73,Ribeira Grande,PT,2021-10-05 19:51:36,38.5167,-28.7,73.8,94,75,10.36
74,Katete,UG,2021-10-05 19:51:37,-0.7818,29.7544,62.51,94,64,2.98
75,Taoudenni,ML,2021-10-05 19:51:37,22.6783,-3.9836,96.71,9,5,9.08
76,Qaqortoq,GL,2021-10-05 19:51:37,60.7167,-46.0333,38.43,73,1,7.72
77,Grindavik,IS,2021-10-05 19:51:38,63.8424,-22.4338,44.55,87,90,12.66
78,Ibanda,TZ,2021-10-05 19:51:38,-2.7974,32.4746,70.41,74,99,3.71
79,Bindura,ZW,2021-10-05 19:51:38,-17.3019,31.3306,70.14,61,51,6.82
80,Kupang,ID,2021-10-05 19:51:39,-10.1667,123.5833,76.86,80,89,5.68
81,Moree,AU,2021-10-05 19:51:39,-29.4667,149.85,41.02,87,0,4.61
82,Ahipara,NZ,2021-10-05 19:51:40,-35.1667,173.1667,61.83,90,99,6.82
83,Thompson,CA,2021-10-05 19:48:54,55.7435,-97.8558,53.76,37,75,6.91
84,Haines Junction,CA,2021-10-05 19:51:40,60.7522,-137.5108,33.75,69,90,3.44
85,Grand Baie,MU,2021-10-05 19:51:41,-20.0182,57.5802,71.46,79,56,1.01
86,Leshukonskoye,RU,2021-10-05 19:51:41,64.8989,45.7622,43.63,83,0,10.98
87,Yellowknife,CA,2021-10-05 19:51:41,62.456,-114.3525,43.41,95,75,1.99
88,Fengzhen,CN,2021-10-05 19:51:42,40.4394,113.1536,45.12,91,100,5.12
89,Travesia,HN,2021-10-05 19:51:42,15.8667,-87.9,91.69,75,44,6.73
90,Saint George,US,2021-10-05 19:48:54,37.1041,-113.5841,84.63,33,1,5.99
91,Omboue,GA,2021-10-05 19:51:43,-1.5746,9.2618,76.96,86,100,10.27
92,Codrington,AU,2021-10-05 19:51:43,-38.2667,141.9667,40.75,92,56,8.88
93,Padang,ID,2021-10-05 19:51:43,-0.9492,100.3543,77.27,88,100,2.51
94,Batouri,CM,2021-10-05 19:48:50,4.4333,14.3667,68.97,96,99,2.33
95,Luwuk,ID,2021-10-05 19:51:44,-0.9516,122.7875,76.57,74,100,3.02
96,Adrar,MR,2021-10-05 19:51:44,20.5022,-10.0711,93.33,10,1,6.2
97,Tarakan,ID,2021-10-05 19:51:45,3.3,117.6333,80.67,77,100,7.27
98,Gimli,CA,2021-10-05 19:51:45,50.6336,-96.9907,86.43,53,95,16.11
99,Wanganui,NZ,2021-10-05 19:51:46,-39.9333,175.05,58.73,88,100,5.01
100,Shenjiamen,CN,2021-10-05 19:51:46,29.9576,122.298,77.4,84,0,13.91
101,Ayorou,NE,2021-10-05 19:51:46,14.7308,0.9174,99.73,18,87,6.73
102,Avarua,CK,2021-10-05 19:51:47,-21.2078,-159.775,77.05,73,29,18.41
103,Vestmannaeyjar,IS,2021-10-05 19:51:47,63.4427,-20.2734,43.63,89,100,24.47
104,Bathsheba,BB,2021-10-05 19:51:48,13.2167,-59.5167,88.41,62,40,21.85
105,Santa Isabel Do Rio Negro,BR,2021-10-05 19:51:48,-0.4139,-65.0192,89.98,54,86,5.91
106,Doha,QA,2021-10-05 19:51:48,25.2867,51.5333,89.91,68,0,4.61
107,Souillac,MU,2021-10-05 19:51:49,-20.5167,57.5167,71.37,88,40,4.61
108,Pochutla,MX,2021-10-05 19:51:49,15.7432,-96.4661,93.02,59,28,7.43
109,Zaragoza,ES,2021-10-05 19:47:56,41.6561,-0.8773,66.79,64,75,4.0
110,Mehamn,NO,2021-10-05 19:51:50,71.0357,27.8492,50.07,81,96,17.87
111,Faanui,PF,2021-10-05 19:51:50,-16.4833,-151.75,78.06,71,44,15.26
112,Puerto Carreno,CO,2021-10-05 19:50:06,6.189,-67.4859,90.55,57,95,2.89
113,Dongsheng,CN,2021-10-05 19:51:50,39.8161,109.9776,46.13,88,100,4.74
114,Kodiak,US,2021-10-05 19:51:51,57.79,-152.4072,44.33,94,100,3.24
115,Busca,IT,2021-10-05 19:51:51,44.5181,7.4743,58.77,100,34,3.44
116,Kyren,RU,2021-10-05 19:51:51,51.6828,102.1408,33.44,83,55,1.54
117,Carutapera,BR,2021-10-05 19:51:52,-1.195,-46.02,83.25,69,52,9.62
118,Tambacounda,SN,2021-10-05 19:51:52,13.7539,-13.7586,86.05,74,75,2.3
119,Vaini,TO,2021-10-05 19:51:52,-21.2,-175.2,75.36,88,75,6.91
120,Bluff,NZ,2021-10-05 19:51:53,-46.6,168.3333,49.8,95,100,7.85
