,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
267,Lorengau,PG,81.37,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
274,Sur,OM,82.17,clear sky,22.5667,59.5289,Sur Plaza Hotel
293,Caibiran,PH,79.66,overcast clouds,11.5717,124.5822,Felans Pension House
295,Tanda,IN,77.18,scattered clouds,26.55,82.65,MUMTAZ GANJ TANDA
296,Victoria,HK,78.94,moderate rain,22.2855,114.1577,Mini Hotel Central
299,Caravelas,BR,75.47,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
300,Jibuti,DJ,83.62,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
303,Am Timan,TD,79.41,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
312,Guna,IN,75.72,clear sky,24.65,77.3167,Hotel G K Jain
320,Labuhan,ID,76.62,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
322,Olinda,BR,80.33,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
324,Pasni,PK,81.37,clear sky,25.2631,63.471,Kashmiri Hotal
332,Honiara,SB,84.79,scattered clouds,-9.4333,159.95,Heritage Park Hotel
334,Mayo,US,76.39,clear sky,38.8876,-76.5119,Resorts Resource Group International
336,Gushikawa,JP,80.6,clear sky,26.3544,127.8686,Kirari Guest House
342,Winslow,US,78.98,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
347,Fairview,US,76.26,few clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
348,Guerrero Negro,MX,76.06,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
349,Kaputa,ZM,78.17,overcast clouds,-8.4689,29.6619,Chelelwa Charlets
350,Hwange,ZW,77.36,few clouds,-18.3693,26.5019,Hwange Colliery Guest House
352,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
354,Thanjavur,IN,81.16,overcast clouds,10.8,79.15,Tanjore Hi Hotel
356,Annamalainagar,IN,80.74,overcast clouds,11.4,79.7333,Hotel Akshaya
358,Daru,PG,80.74,overcast clouds,-9.0763,143.2092,Daru Lodge
366,Kutum,SD,77.47,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
369,Belmonte,BR,77.5,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
371,Caucaia,BR,84.07,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
373,Moerai,PF,75.34,light rain,-22.4333,-151.3333,Le Manotel
377,Wewak,PG,78.73,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
